model,sb,day,time,trial,nEntropy,nnmp,vacuity,dissonance,overall
ecnn1,1,5,PM,8,0.6334227301733405,0.6139951798372308,0.5764633235824049,0.4942354600425088,0.5860658961484217
ecnn1,1,5,PM,9,0.5847127468177922,0.5869030814153342,0.5237939041615024,0.4628067048415845,0.5673343190370685
ecnn1,1,5,PM,10,0.6189037007631254,0.6161836222877065,0.4855769374293086,0.4733909505461814,0.5561684685694332
ecnn1,1,5,PM,11,0.5411020461903909,0.5131198795162226,0.5279243323994516,0.3880824555413289,0.4971404571690197
ecnn1,1,5,PM,12,0.5598568114599417,0.5458819452205833,0.43459698767872257,0.4447596771942465,0.5208874369840846
ecnn2,1,1,AM,1,0.5328879645605968,0.5334875063180943,0.5320228281427501,0.40078206951341067,0.5328879645605968
ecnn2,1,1,AM,2,0.5367129654341978,0.5433259628766165,0.5421213591833491,0.3678301049960274,0.5367129654341978
ecnn2,1,1,AM,3,0.6494995183007845,0.6529068319123295,0.6519508036557763,0.4639887731159303,0.6494928653964054
ecnn2,1,1,AM,4,0.5189948512104174,0.5245988255164992,0.5216756876134747,0.4647526519414609,0.5189948512104174
ecnn2,1,1,AM,5,0.6284040098320635,0.6375696101993517,0.6372852891496651,0.521164415076387,0.6284040098320635
ecnn2,1,1,AM,6,0.6077894649041031,0.6165061670009788,0.6174198724757239,0.4115709960853503,0.6077894649041031
ecnn2,1,1,AM,7,0.5711327898578578,0.5791822566193778,0.5778930493196739,0.5000554753456355,0.5711327898578578
ecnn2,1,1,AM,8,0.6065410390827665,0.6093714853874993,0.6087170594149506,0.3966007656520458,0.6065410390827665
ecnn2,1,1,AM,9,0.5971599402666063,0.6037007645071554,0.6006070594249965,0.5112484292889792,0.5971599402666063
ecnn2,1,1,AM,10,0.6517777593040694,0.6545485080959103,0.6539425146836926,0.4743201048356026,0.6517777593040694
ecnn2,1,1,AM,11,0.591017966944756,0.5902187532024238,0.5870786277849585,0.471165086621521,0.591017966944756
ecnn2,1,1,AM,12,0.6378566294272907,0.6384021569816104,0.6374060289884869,0.4230078379591995,0.6378566294272907
ecnn2,1,1,PM,1,0.5472743370765581,0.5550757322959708,0.5544055341845001,0.4596378051726586,0.5472743370765581
ecnn2,1,1,PM,2,0.5083641391506315,0.5119857473058789,0.5096473748719952,0.43597613491374265,0.5083641391506315
ecnn2,1,1,PM,3,0.5822428980424816,0.5836357610064274,0.5806601643456697,0.4884433170732523,0.5822428980424816
ecnn2,1,1,PM,4,0.5405570293272008,0.5456388272817299,0.5436895583869874,0.4306813569665991,0.5405570293272008
ecnn2,1,1,PM,5,0.5025051786198801,0.5029876233651522,0.5012287498773951,0.4657090333489541,0.5025051786198801
ecnn2,1,1,PM,6,0.5317762794605551,0.5386066673254576,0.5348093797989893,0.44591877565223903,0.5317762794605551
ecnn2,1,1,PM,7,0.595395942804218,0.6036635629573806,0.6036642186141763,0.4583829052067268,0.595395942804218
ecnn2,1,1,PM,8,0.5455135118476258,0.5492459057077563,0.546838233400649,0.43664159818241904,0.5455135118476258
ecnn2,1,1,PM,9,0.5626845241590016,0.5618561398263656,0.5604035573740965,0.4788852831837534,0.5626845241590016
ecnn2,1,1,PM,10,0.5803413411613176,0.5816417321534351,0.5816225908557952,0.4836198276171874,0.5803413411613176
ecnn2,1,1,PM,11,0.5842001292404226,0.5834777322473421,0.5773009772724523,0.4282176100565878,0.5842001292404226
