model,sb,day,time,trial,acc
ecnn2,1,3,AM,6,0.5071488645920942
ecnn2,1,3,AM,7,0.4756047560475605
ecnn2,1,3,AM,8,0.44716494845360827
ecnn2,1,3,AM,9,0.5398009950248757
ecnn2,1,3,AM,10,0.4925975773889637
ecnn2,1,3,AM,11,0.5367139959432049
ecnn2,1,3,AM,12,0.5120689655172413
ecnn2,1,3,PM,1,0.4072986577181208
ecnn2,1,3,PM,2,0.4140893470790378
ecnn2,1,3,PM,3,0.4328482328482329
ecnn2,1,3,PM,4,0.3696116090482288
ecnn2,1,3,PM,5,0.40922072623419015
ecnn2,1,3,PM,6,0.3804022250748823
ecnn2,1,3,PM,7,0.40727124183006536
ecnn2,1,3,PM,8,0.4329550231189576
ecnn2,1,3,PM,9,0.3941480206540448
ecnn2,1,3,PM,10,0.3924754168448055
ecnn2,1,3,PM,11,0.3789860997547016
ecnn2,1,3,PM,12,0.4188955996548749
ecnn2,1,4,AM,1,0.5493015612161052
ecnn2,1,4,AM,2,0.5686800894854586
ecnn2,1,4,AM,3,0.4946058091286307
ecnn2,1,4,AM,4,0.5036340316374519
ecnn2,1,4,AM,5,0.5907274180655475
ecnn2,1,4,AM,6,0.5504941985388913
ecnn2,1,4,AM,7,0.5676567656765676
ecnn2,1,4,AM,8,0.5160462130937099
ecnn2,1,4,AM,9,0.5972391392610638
ecnn2,1,4,AM,10,0.5333333333333333
ecnn2,1,4,AM,11,0.521865889212828
ecnn2,1,4,AM,12,0.5234702430846605
ecnn2,1,4,PM,1,0.5204750204750205
ecnn2,1,4,PM,2,0.4409282700421941
ecnn2,1,4,PM,3,0.4692640692640693
ecnn2,1,4,PM,4,0.4240794373189905
ecnn2,1,4,PM,5,0.4940743767879036
ecnn2,1,4,PM,6,0.4130787977254265
ecnn2,1,4,PM,7,0.4793456032719837
ecnn2,1,4,PM,8,0.4331131296449216
ecnn2,1,4,PM,9,0.5247849242113888
ecnn2,1,4,PM,10,0.4158458244111349
ecnn2,1,4,PM,11,0.5271671505599337
ecnn2,1,4,PM,12,0.4614733276883997
ecnn2,1,5,AM,1,0.5364932885906041
ecnn2,1,5,AM,2,0.3803837953091685
ecnn2,1,5,AM,3,0.4691603660962992
ecnn2,1,5,AM,4,0.4605826906598115
ecnn2,1,5,AM,5,0.518354175070593
