model,sb,day,time,trial,stability
ecnn3,1,2,PM,9,0.8213419563459984
ecnn3,1,2,PM,10,0.7908792111750206
ecnn3,1,2,PM,11,0.8238321456848773
ecnn3,1,2,PM,12,0.8156262918561389
ecnn3,1,3,AM,1,0.7859793814432989
ecnn3,1,3,AM,2,0.7619680851063829
ecnn3,1,3,AM,3,0.7748422712933754
ecnn3,1,3,AM,4,0.7815344603381014
ecnn3,1,3,AM,5,0.8081135902636917
ecnn3,1,3,AM,6,0.8064787547328566
ecnn3,1,3,AM,7,0.7899917965545529
ecnn3,1,3,AM,8,0.7713794585302965
ecnn3,1,3,AM,9,0.7847366238075487
ecnn3,1,3,AM,10,0.7930879712746858
ecnn3,1,3,AM,11,0.8056006493506493
ecnn3,1,3,AM,12,0.7757654161276413
ecnn3,1,3,PM,1,0.7582878724297104
ecnn3,1,3,PM,2,0.7412978083369145
ecnn3,1,3,PM,3,0.7762063227953411
ecnn3,1,3,PM,4,0.7497865072587532
ecnn3,1,3,PM,5,0.743265306122449
ecnn3,1,3,PM,6,0.7615582191780822
ecnn3,1,3,PM,7,0.7552104617899469
ecnn3,1,3,PM,8,0.7582001682085786
ecnn3,1,3,PM,9,0.7391304347826086
ecnn3,1,3,PM,10,0.7544910179640718
ecnn3,1,3,PM,11,0.7476482617586913
ecnn3,1,3,PM,12,0.7423392317652137
ecnn3,1,4,AM,1,0.8232634607480477
ecnn3,1,4,AM,2,0.7779767233661594
ecnn3,1,4,AM,3,0.7978414279784143
ecnn3,1,4,AM,4,0.7489307100085543
ecnn3,1,4,AM,5,0.8408636545381847
ecnn3,1,4,AM,6,0.7712811693895099
ecnn3,1,4,AM,7,0.8208832026413537
ecnn3,1,4,AM,8,0.78125
ecnn3,1,4,AM,9,0.8135662063363119
ecnn3,1,4,AM,10,0.7778249787595581
ecnn3,1,4,AM,11,0.8175
ecnn3,1,4,AM,12,0.7710691823899372
ecnn3,1,4,PM,1,0.8426874231872183
ecnn3,1,4,PM,2,0.7809202195018996
ecnn3,1,4,PM,3,0.8224339540926808
ecnn3,1,4,PM,4,0.8038079470198676
ecnn3,1,4,PM,5,0.8156173344235487
ecnn3,1,4,PM,6,0.7899227956115401
ecnn3,1,4,PM,7,0.8158756137479541
ecnn3,1,4,PM,8,0.8112350268484098
ecnn3,1,4,PM,9,0.8610655737704918
ecnn3,1,4,PM,10,0.7982005141388175
ecnn3,1,4,PM,11,0.8572614107883818
ecnn3,1,4,PM,12,0.7865311308767471
ecnn3,1,5,AM,1,0.7650020981955519
ecnn3,1,5,AM,2,0.731655290102389
ecnn3,1,5,AM,3,0.7671178343949044
ecnn3,1,5,AM,4,0.7428204029147021
ecnn3,1,5,AM,5,0.7820823244552058
ecnn3,1,5,AM,6,0.719350704826997
ecnn3,1,5,AM,7,0.7025844930417495
ecnn3,1,5,AM,8,0.7232180075031263
ecnn3,1,5,AM,9,0.7685643564356436
ecnn3,1,5,AM,10,0.7591888466413181
ecnn3,1,5,AM,11,0.7399193548387097
ecnn3,1,5,AM,12,0.7430927835051546
ecnn3,1,5,PM,1,0.7732121691031213
ecnn3,1,5,PM,2,0.7093617021276596
ecnn3,1,5,PM,3,0.7844723008491711
ecnn3,1,5,PM,4,0.7649034424853065
ecnn3,1,5,PM,5,0.7878192534381141
ecnn3,1,5,PM,6,0.7624948368442792
ecnn3,1,5,PM,7,0.7491987179487181
ecnn3,1,5,PM,8,0.7355749273557493
ecnn3,1,5,PM,9,0.7793185419968305
ecnn3,1,5,PM,10,0.7562576938859253
ecnn3,1,5,PM,11,0.7872683319903304
ecnn3,1,5,PM,12,0.7421410365335599
etcn0,1,1,AM,1,0.8677912907022362
etcn0,1,1,AM,2,0.8690376569037657
etcn0,1,1,AM,3,0.806541683286797
etcn0,1,1,AM,4,0.8906444906444906
etcn0,1,1,AM,5,0.8724082934609251
etcn0,1,1,AM,6,0.8680526092490454
etcn0,1,1,AM,7,0.8723926380368098
etcn0,1,1,AM,8,0.8730964467005076
etcn0,1,1,AM,9,0.8443260958623515
etcn0,1,1,AM,10,0.8778095627298733
etcn0,1,1,AM,11,0.8783132530120482
etcn0,1,1,AM,12,0.8878231859883237
etcn0,1,1,PM,1,0.8870588235294118
etcn0,1,1,PM,2,0.8845188284518828
etcn0,1,1,PM,3,0.8151621727237202
etcn0,1,1,PM,4,0.8673553719008265
etcn0,1,1,PM,5,0.8895534290271132
etcn0,1,1,PM,6,0.8752564628641772
etcn0,1,1,PM,7,0.8675179569034317
etcn0,1,1,PM,8,0.8833124215809285
etcn0,1,1,PM,9,0.7966507177033493
etcn0,1,1,PM,10,0.8640261331155574
etcn0,1,1,PM,11,0.892498997192138
etcn0,1,1,PM,12,0.8723044397463002
etcn0,1,2,AM,1,0.8245329000812348
etcn0,1,2,AM,2,0.8195488721804511
etcn0,1,2,AM,3,0.8259468170829976
etcn0,1,2,AM,4,0.8026533996683249
etcn0,1,2,AM,5,0.8219512195121952
etcn0,1,2,AM,6,0.8099792099792099
etcn0,1,2,AM,7,0.8367184388689766
etcn0,1,2,AM,8,0.8204385601985933
etcn0,1,2,AM,9,0.8401116427432217
etcn0,1,2,AM,10,0.7846219201359388
etcn0,1,2,AM,11,0.8219560878243513
etcn0,1,2,AM,12,0.7797938144329897
etcn0,1,2,PM,1,0.7992715499797652
etcn0,1,2,PM,2,0.8075801749271136
etcn0,1,2,PM,3,0.8147699757869249
etcn0,1,2,PM,4,0.7994210090984284
etcn0,1,2,PM,5,0.8146182115149041
